Date;Time;Severity;From;Line;Message
2016/11/10;16:12:46.826;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:12:54.445;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:13:01.865;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (192.168.0.129:65000): C,C03"
2016/11/10;16:13:01.886;ERROR;man-proc.cpp;299;"ManProc::GetEstadoCpu 1. socket_error: WIN32(ERROR: 0). gethostbyname."
2016/11/10;16:13:01.891;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/10;16:13:01.896;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:13:01.901;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:13:05.485;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:13:16.504;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:13:16.901;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:13:16.907;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:13:27.524;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:13:31.906;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:13:31.912;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:13:38.543;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:13:46.912;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:13:46.918;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:13:49.562;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:14:00.580;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:14:01.963;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (192.168.0.129:65000): C,C03"
2016/11/10;16:14:01.975;ERROR;man-proc.cpp;299;"ManProc::GetEstadoCpu 1. socket_error: WIN32(ERROR: 0). gethostbyname."
2016/11/10;16:14:01.980;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/10;16:14:01.988;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:14:02.004;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:14:11.613;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:14:17.004;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:14:17.010;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:14:22.633;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:14:32.010;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:14:32.015;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:14:33.652;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:14:44.670;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:14:47.015;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:14:47.021;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:14:55.689;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:15:02.068;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (192.168.0.129:65000): C,C03"
2016/11/10;16:15:02.082;ERROR;man-proc.cpp;299;"ManProc::GetEstadoCpu 1. socket_error: WIN32(ERROR: 0). gethostbyname."
2016/11/10;16:15:02.087;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/10;16:15:02.092;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:15:02.100;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:15:06.708;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:15:17.100;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:15:17.106;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:15:17.727;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:15:28.747;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:15:32.123;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:15:32.128;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:15:39.766;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:15:47.128;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:15:47.134;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:15:50.784;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:16:01.802;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:16:02.172;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (192.168.0.129:65000): C,C03"
2016/11/10;16:16:02.192;ERROR;man-proc.cpp;299;"ManProc::GetEstadoCpu 1. socket_error: WIN32(ERROR: 0). gethostbyname."
2016/11/10;16:16:02.196;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/10;16:16:02.200;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:16:02.204;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:16:12.831;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:16:17.204;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:16:17.209;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:16:23.850;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:16:32.209;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:16:32.215;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:16:34.868;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:16:45.886;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:16:47.215;ERROR;working-config.h;79;"CommConfig::cpu1cpu2: ERROR CPU0-CPU1 No coincide con IPPROPIA !!!"
2016/11/10;16:16:47.220;ERROR;man-proc.cpp;326;"ManProc::NotificaEstadosCpu. Error No puedo decodificar si soy Cpu0 o Cpu1"
2016/11/10;16:16:56.905;DEBUG;cfg-proc.cpp;376;"Chequeando Configuracion en: 192.168.0.212..."
2016/11/10;16:17:02.222;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (192.168.0.129:65000): C,C03"
2016/11/10;16:17:02.271;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/10;16:17:02.283;ERROR;man-proc.cpp;299;"ManProc::GetEstadoCpu 1. socket_error: WIN32(ERROR: 0). gethostbyname."
