Date;Time;Severity;From;Line;Message
2016/11/30;16:39:47.890;DEBUG;cfg-proc.cpp;382;"Chequeando Configuracion en: 192.168.0.212:9999..."
2016/11/30;16:39:48.867;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:39:49.014;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:39:49.093;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:39:49.107;ERROR;cfg-proc.cpp;403;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:9999. "
2016/11/30;16:39:53.871;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:39:53.898;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:39:58.865;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:39:58.878;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:39:59.013;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:39:59.110;DEBUG;cfg-proc.cpp;382;"Chequeando Configuracion en: 192.168.0.212:9999..."
2016/11/30;16:40:00.301;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:00.315;ERROR;cfg-proc.cpp;403;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:9999. "
2016/11/30;16:40:03.877;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:03.897;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:06.877;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:06.905;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:10.223;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:10.310;DEBUG;cfg-proc.cpp;382;"Chequeando Configuracion en: 192.168.0.212:9999..."
2016/11/30;16:40:11.483;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:11.497;ERROR;cfg-proc.cpp;403;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:9999. "
2016/11/30;16:40:11.869;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:11.882;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:16.883;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:16.910;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:21.398;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:21.486;DEBUG;cfg-proc.cpp;382;"Chequeando Configuracion en: 192.168.0.212:9999..."
2016/11/30;16:40:21.879;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:21.905;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:22.625;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C00,0"
2016/11/30;16:40:22.638;ERROR;cfg-proc.cpp;403;"Excepcion: WIN32(ERROR: 10061). No puedo conectarme al HOST: 192.168.0.212:9999. "
2016/11/30;16:40:26.883;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
2016/11/30;16:40:26.909;ERROR;his-proc.cpp;64;"Excepcion: WIN32(ERROR: 10054). recvfrom. Local=65003, Remoto:65000"
2016/11/30;16:40:31.879;DEBUG;his-proc.cpp;40;"TO-SNMP-SERVICE (127.0.0.1:65000): C,C03"
